,value,numBigOnes,aveNumExprEvaluated,aveNumSolutions,aveSolveTimeSec
537,234,2,19991.2,37.8,0.19205236434936523
538,234,3,23880.7,26.1,0.22990970611572265
539,234,4,32309.9,49.9,0.2968099117279053
540,235,1,14863.5,35.1,0.14900782108306884
541,235,2,20672.1,43.0,0.1951529026031494
542,235,3,27629.6,30.1,0.2563034534454346
543,235,4,26603.4,25.5,0.27986438274383546
544,236,1,15464.8,30.8,0.16009800434112548
545,236,2,22934.6,45.7,0.21946587562561035
546,236,3,27698.0,21.4,0.2686187267303467
547,236,4,28492.0,24.0,0.28033597469329835
548,237,1,14474.9,38.8,0.14973578453063965
549,237,2,22244.8,33.9,0.21641390323638915
550,237,3,27234.9,30.5,0.25533742904663087
551,237,4,27911.5,24.4,0.2768751382827759
552,238,1,16828.7,47.5,0.1748332977294922
553,238,2,25296.8,39.8,0.23708488941192626
554,238,3,26694.4,22.9,0.25005805492401123
555,238,4,29706.8,23.8,0.27719931602478026
556,239,1,15216.7,34.6,0.16176507472991944
557,239,2,22884.9,29.8,0.2152714729309082
558,239,3,28072.7,29.1,0.25991091728210447
559,239,4,30229.6,14.2,0.2894127607345581
560,240,1,14547.7,66.1,0.15502824783325195
561,240,2,22237.1,58.0,0.21159744262695312
562,240,3,28953.6,34.4,0.2667021989822388
563,240,4,27389.4,25.0,0.26274876594543456
564,241,1,17826.1,27.0,0.17976620197296142
565,241,2,23665.2,48.8,0.22905340194702148
566,241,3,24631.6,26.3,0.23664591312408448
567,241,4,29327.7,24.0,0.2825598239898682
568,242,1,13530.2,28.0,0.1398491621017456
569,242,2,23279.3,51.2,0.22779741287231445
570,242,3,29017.5,36.5,0.27040202617645265
571,242,4,25794.1,23.0,0.25195024013519285
572,243,1,15284.8,38.9,0.16025333404541015
